,proposal,voter,support,single_vote,name
35,49,0x03f061f6357195dbb545820a6cd9a2ed2b087618,1,24.01036137512513,
1931,49,0x879e932b55c14ab7ceebb74fe94d2015fdc785b2,1,1.5651883298592397,xiaotong.eth
1798,50,0x8169522c2c57883e8ef80c498aab7820da539806,1,101000.02465446974,
891,50,0x43ab8c56baaf9b6fb839b9056667d60b8254e25f,1,0.07847510302208979,ferrari.tokenid.eth
1001,50,0x47c125dee6898b6cb2379bcbafc823ff3f614770,1,50004.08847703803,blockchainatucla.eth
1581,50,0x71fe06869647fd4fd360553539ff4194c1ecc963,1,0.002530061741647396,
2324,50,0x9b68c14e936104e9a7a24c712beecdc220002984,1,11050.52772898223,getty.gfxlabs.eth
1964,50,0x88fb3d509fc49b515bfeb04e23f53ba339563981,1,105101.12404190145,
653,50,0x2fd6181541bebe30d17cf3a5d9f40ebcecbdba43,1,20002.054464220622,
1299,50,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,57785.755787858405,
367,50,0x19b570af5dddb8f0f5a15c83d07a1c5153865188,1,0.8058410532497946,
929,50,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,0,0.5495891589942499,
1754,50,0x7e4a8391c728fed9069b2962699ab416628b19fa,1,50024.10040143412,
224,50,0x10f87409e405c5e44e581a4c3f2eecf36aaf1f92,1,38055.287155236816,
912,50,0x44c69653fa05b0e7c12488a4441b9368da43aabd,1,0.25,jthrack.eth
964,50,0x458ceec48586a85fcfeb4a179706656ee321730e,1,50001.452265037355,calblockchain.eth
260,50,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,50008.927984948416,
36,50,0x03f061f6357195dbb545820a6cd9a2ed2b087618,1,24.01036137512513,
430,50,0x1d29756e8f7b091ce6c11a35980de79c7eda5d1f,1,50018.778571257826,
1527,50,0x6c5b82ebd4bcde97efbdac727e68b6ca2e45efce,1,1.0,
2160,50,0x91400be76b7171cf932ae252390d2b60e2c73013,1,30.0,pyggie.eth
814,50,0x3eb58f93ab0cac85b888d7429d3eed96c086f7ed,1,0.8428289780194914,
1131,50,0x5274b3bebc974f3cf661efe149bf4c6f4cdc59d2,1,4773.3099999999995,
1196,50,0x54a37d93e57c5da659f508069cf65a381b61e189,1,100086.95235609902,
2049,50,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,12514.38334879738,monetsupply.eth
578,50,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,7745.112619612217,arr00.eth
1078,50,0x4e2ed0ce033d49bdcdf991914d150e30ae433e06,1,11.6,
189,50,0x0dc1f2633d657122d67735d9606e0b29f5523aef,1,1.0008356785702774,
94,50,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1,49999.99999999999,upennblockchain.eth
158,50,0x0a09cd09b0107bb98a83f211704f036eca94b92e,1,15000.0,
1332,50,0x5d8908afee1df9f7f0830105f8be828f97ce9e68,1,50002.71161405984,
2280,50,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,1,345002.602372824,
1844,50,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,151.5404959684908,
2050,51,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,12514.38334879738,monetsupply.eth
661,51,0x303eefedee1ba8e5d507a55465d946b2fea18583,1,1.0,bacobit.eth
431,51,0x1d29756e8f7b091ce6c11a35980de79c7eda5d1f,1,50018.778656511386,
37,51,0x03f061f6357195dbb545820a6cd9a2ed2b087618,1,24.01036137512513,
261,51,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,50008.927984948416,
2161,51,0x91400be76b7171cf932ae252390d2b60e2c73013,1,30.0,pyggie.eth
965,51,0x458ceec48586a85fcfeb4a179706656ee321730e,1,50001.452265037355,calblockchain.eth
1197,51,0x54a37d93e57c5da659f508069cf65a381b61e189,1,100080.40189018502,
1845,51,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,151.5404959684908,
368,51,0x19b570af5dddb8f0f5a15c83d07a1c5153865188,1,0.8058410532497946,
930,51,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,0,0.5495891589942499,
1422,51,0x6626593c237f530d15ae9980a95ef938ac15c35c,1,126090.13960272033,
2094,51,0x8d27f759feac9dbce5e3dde263a8359d58ff3c5c,1,1.038930053573837,
628,51,0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,1,0.58903366,
2325,51,0x9b68c14e936104e9a7a24c712beecdc220002984,2,11050.52772898223,getty.gfxlabs.eth
190,51,0x0dc1f2633d657122d67735d9606e0b29f5523aef,0,1.0008356785702774,
1260,51,0x582cd2fb9b6f228acf4edf8f6c608ddace41d468,1,6563.589999999999,
138,51,0x07d5e9d8e87d2bd41f5b554f87034b7d50aa0103,0,0.0,alicehome.eth
1528,51,0x6c5b82ebd4bcde97efbdac727e68b6ca2e45efce,0,1.0,
1300,51,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,57785.755787858405,
1965,51,0x88fb3d509fc49b515bfeb04e23f53ba339563981,1,105101.12404190145,
1605,51,0x739b39fc23f8d0576aa97065b0be45bd9ae126e4,1,1.3,ocdanalysis.eth
2150,51,0x908e8e8084d660f8f9054aa8ad1b31380d04b08f,1,0.03732323,queenway.eth
2097,51,0x8d5237037a590a2db531f3cfb8f42605cf306f34,2,0.0,
1781,52,0x7f89077b122afaaf6ab50aa12e9cb46bb9a058c4,1,8018.20777573,
2051,52,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,12514.38334879738,monetsupply.eth
2098,52,0x8d5237037a590a2db531f3cfb8f42605cf306f34,1,0.25,
2162,52,0x91400be76b7171cf932ae252390d2b60e2c73013,1,30.0,pyggie.eth
2326,52,0x9b68c14e936104e9a7a24c712beecdc220002984,1,11050.52772898223,getty.gfxlabs.eth
1757,52,0x7e8e66e8834f762077deec97f792d83092ebe431,1,0.0373894,
432,52,0x1d29756e8f7b091ce6c11a35980de79c7eda5d1f,1,50018.778656511386,
262,52,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,50008.927984948416,
931,52,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,1,0.5495891589942499,
2281,52,0x9aa835bc7b8ce13b9b0c9764a52fbf71ac62ccf1,1,344999.80884323723,
191,52,0x0dc1f2633d657122d67735d9606e0b29f5523aef,1,1.0008356785702774,
629,52,0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,1,0.58903366,
1529,52,0x6c5b82ebd4bcde97efbdac727e68b6ca2e45efce,1,1.0,
1301,52,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,57785.755787858405,
1966,52,0x88fb3d509fc49b515bfeb04e23f53ba339563981,1,105101.12404190145,
1198,52,0x54a37d93e57c5da659f508069cf65a381b61e189,1,100080.40189018502,
1846,52,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,151.5404959684908,
369,52,0x19b570af5dddb8f0f5a15c83d07a1c5153865188,1,0.8058410532497946,
1132,52,0x5274b3bebc974f3cf661efe149bf4c6f4cdc59d2,1,4773.3099999999995,
662,52,0x303eefedee1ba8e5d507a55465d946b2fea18583,1,1.0,bacobit.eth
966,52,0x458ceec48586a85fcfeb4a179706656ee321730e,1,50001.452265037355,calblockchain.eth
579,52,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,7710.112619612217,arr00.eth
1261,52,0x582cd2fb9b6f228acf4edf8f6c608ddace41d468,1,6563.589999999999,
1423,52,0x6626593c237f530d15ae9980a95ef938ac15c35c,1,126090.14758434461,
139,52,0x07d5e9d8e87d2bd41f5b554f87034b7d50aa0103,1,0.0,alicehome.eth
913,53,0x44c69653fa05b0e7c12488a4441b9368da43aabd,1,0.25,jthrack.eth
1002,53,0x47c125dee6898b6cb2379bcbafc823ff3f614770,1,50004.08847703803,blockchainatucla.eth
1743,53,0x7d96a6f41fd31c7624f7069415be58b5e3576d34,1,883.5871333039805,trilez.eth
932,53,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,1,0.5495891589942499,
967,53,0x458ceec48586a85fcfeb4a179706656ee321730e,1,50001.452265037355,calblockchain.eth
663,53,0x303eefedee1ba8e5d507a55465d946b2fea18583,1,1.0,bacobit.eth
