,Unnamed: 0,voters.id,proposalID.id,support,single_vote,name
652,652,0x33d4546960d29107d2bae9d58bd2786e6b5f169a,112,1,1500000000000000000,
653,653,0x33ffa2786c764a7407e3bc2021ecdca0408f6ab6,109,1,0,xyz9988.eth
654,654,0x34186a490ebcd04d5533ab4c65cbe288ee54c64b,93,1,0,
655,655,0x34186a490ebcd04d5533ab4c65cbe288ee54c64b,111,1,371100000000000000,
656,656,0x3444660f13cfe85be0e5ea5d2ea75d5cb1bb7c27,109,1,0,webtop.eth
657,657,0x3444660f13cfe85be0e5ea5d2ea75d5cb1bb7c27,111,1,0,webtop.eth
658,658,0x344b1e4ac175f16d3ba40a688ca928e3768e275a,111,1,0,ubiex.eth
659,659,0x347120f6d2e3142caced44ad008708d80a4f9420,84,0,50000000000000000000000,
660,660,0x347120f6d2e3142caced44ad008708d80a4f9420,85,1,50000000000000000000000,
661,661,0x347bb83e4ab465c8c6b7afab3beb373410a9cae2,111,1,22000000000000000,
662,662,0x347bb83e4ab465c8c6b7afab3beb373410a9cae2,112,1,22000000000000000,
663,663,0x34a10fce0293276a43c127ac457ad3e65732c888,109,0,275000000000000000,
664,664,0x34a10fce0293276a43c127ac457ad3e65732c888,111,1,275000000000000000,
665,665,0x34bbc9a46b09283698ba7aa1c273e8b4e9f7bcc3,67,1,500031109161152147085,ddoom.eth
666,666,0x34c1c3405cd216c10da49308fbacdb230cb2a824,61,1,140827883338257044,
667,667,0x34c1c3405cd216c10da49308fbacdb230cb2a824,62,1,140827883338257044,
668,668,0x351e826c4d9f0d65bda605c0bec56ba33a388b8d,105,1,100000000000000000,
669,669,0x3533b0b2f5e079cae7669ea25eaf30457e2ed0b3,109,1,1000000000000000000,coun1er.eth
670,670,0x3566ab5289cf2054cd1cd6fd064d7771a09d163b,111,1,0,saosaoliu.eth
671,671,0x35e6fc00e3f190a8dfe15faa219368a01028ec14,111,1,0,indigituseth.eth
672,672,0x3612566e49770fd3137d0c3c2fcf35d5916a2452,111,1,0,theendlessriver.eth
673,673,0x3617f9e9d601483cba5239aaf5a3912edf752d0b,93,1,0,
674,674,0x3617f9e9d601483cba5239aaf5a3912edf752d0b,95,1,10000000000000000,
675,675,0x3617f9e9d601483cba5239aaf5a3912edf752d0b,99,1,10000000000000000,
676,676,0x3617f9e9d601483cba5239aaf5a3912edf752d0b,100,1,10000000000000000,
677,677,0x364f4b2eee8920b6e476dfd4e531b6fd6bfc14cf,111,1,0,tvasahi.eth
678,678,0x367fbe3fddeb7eb226e05ce42a9f51a8610a5fe2,44,1,1102172750000000000,
679,679,0x36bf12154a40b151e9a87a5ca11cb4934dd3eded,109,0,0,
680,680,0x37335c7911924909e2c542282be3474b7f6a70db,105,1,100000000000000000,
681,681,0x373be74324aff93be17fce300173aaebb999e7ba,105,1,66000000000000000,ebacba.eth
682,682,0x373be74324aff93be17fce300173aaebb999e7ba,111,1,66000000000000000,ebacba.eth
683,683,0x374d410f0edf510562aed617e8de0a47baf5cd60,111,1,0,pro‌.eth
684,684,0x3790ecffb4e44efbdd8e29a432c5c3aa93de436a,93,1,0,
685,685,0x37ea22d0f551aa66d54605592b672f385b713dc4,109,1,0,newshop.eth
686,686,0x37ea22d0f551aa66d54605592b672f385b713dc4,111,1,0,newshop.eth
687,687,0x3891e54bb321a2889c6fbfd8efaf5d536627550c,105,1,0,
688,688,0x3933422909a00086775bde2febaaca5eb061db3e,108,1,60000000000000000,
689,689,0x3936a45e2acd7d390cbc61fc1761646dcf71b1ae,43,1,25000000000000000,
690,690,0x3948422f8998189c64928d5468a49ae63ce7e3d6,109,1,100000000000000000,
691,691,0x39760f66f3ba2d4d4fce9b0f738137398a329e9e,108,1,60000000000000000,
692,692,0x397ac9aa39e3b76e3a10de427a79131524e6339e,105,1,17466580000000000,
693,693,0x397eb57696b2ee00b667d9acdac8b7e85c568533,109,1,200000000000000000,yue777.eth
694,694,0x397eb57696b2ee00b667d9acdac8b7e85c568533,111,1,200000000000000000,yue777.eth
695,695,0x3988dff5d29499038c5d5124a770c6557c2c146a,109,1,0,0x1890.eth
696,696,0x3a031cd5d4e1acf9e6897ff87da169ea08ddf22c,111,1,50000000000000000,
697,697,0x3a26577d7682064dff6f3f82764b20c08c427025,111,1,1200000000000000,
698,698,0x3aa6605d87f611e43ad0a64740d6bef9b80fcd2c,109,1,31000000000000000,zhaoyun.eth
699,699,0x3aab9b3145df48a22ae337d50d1d66a3b2a3bda0,105,1,75000000000000000,0xmct.eth
700,700,0x3acbd79643328d5f7d4f637e043d5ccd92d2c34d,102,1,108116764718893326,
701,701,0x3acec63df96b7e37ddb146c20cd89146100a908d,108,1,60000000000000000,
702,702,0x3ad338da72d5cfaea19396394062665ae792ad04,109,1,0,
703,703,0x3ada21ffa9274816da1359bec621722a9d9ef65b,110,1,6869060000000000,
704,704,0x3b2346e78f8051eb5cbc1848547949204c1059c0,53,1,10000000000000000,indiga.eth
705,705,0x3b24dde8ef6b02438490117985d9cfa2edccf746,43,1,66959400000000000,callmedegen.eth
706,706,0x3b33a58e48a06c55190e2cfeefffa3b918bb8dbc,111,1,0,
707,707,0x3b5362ceb3c417148bbec31c7927c65ff7987326,105,1,10000000000000000,52760.eth
708,708,0x3b59e42d9f33906ff58813f9bb8be58b185d22f2,89,1,0,chanelpurse.eth
709,709,0x3b59e42d9f33906ff58813f9bb8be58b185d22f2,93,1,50000000000000000,chanelpurse.eth
710,710,0x3b59e42d9f33906ff58813f9bb8be58b185d22f2,105,1,50000000000000000,chanelpurse.eth
711,711,0x3b59e42d9f33906ff58813f9bb8be58b185d22f2,111,1,1001000000000000000,chanelpurse.eth
712,712,0x3b85c812d1355c93e30acf52ed5471a4ad388d92,108,1,187436964221075331,omelcn.eth
713,713,0x3bd20e039d7ce96bd426f9d0ebeffad8f5b16a6d,111,1,0,nodetracker.eth
714,714,0x3be394bf4a6320a049354ad55b889d815bc3e156,60,1,90122116790064414020,
715,715,0x3be394bf4a6320a049354ad55b889d815bc3e156,69,2,2116790064414020,
716,716,0x3be394bf4a6320a049354ad55b889d815bc3e156,112,1,2116790064414020,
717,717,0x3be4d16e39903e13fbcecef3c2f734b779867b47,108,1,500000000000000000,
718,718,0x3be4d16e39903e13fbcecef3c2f734b779867b47,111,1,500000000000000000,
719,719,0x3c0def24bf7acd8443f07933b5fd1029c79c6892,105,1,0,
720,720,0x3c3000c507d84ffe9212e21d75b609425dc3040f,109,0,0,szong.eth
721,721,0x3c413bf403d3fbae8e36e17674a709e195aace33,105,1,0,
722,722,0x3c807af9ab4b6be4b0740bfe464dc0df2a8e519b,92,1,60000000000000000,
723,723,0x3c807af9ab4b6be4b0740bfe464dc0df2a8e519b,93,1,60000000000000000,
724,724,0x3c807af9ab4b6be4b0740bfe464dc0df2a8e519b,105,1,60000000000000000,
725,725,0x3cbf036d6c709fd723d3bcc0b4123c603260fdde,86,1,2220000000000000,nakoruru.eth
726,726,0x3cbf036d6c709fd723d3bcc0b4123c603260fdde,105,1,2220000000000000,nakoruru.eth
727,727,0x3cbf036d6c709fd723d3bcc0b4123c603260fdde,111,1,2220000000000000,nakoruru.eth
728,728,0x3ccd44bb20bc9c06fa8cce8f6aa207ae86d7dd5b,108,1,1003828440000000000,0xfremen.eth
729,729,0x3ccd44bb20bc9c06fa8cce8f6aa207ae86d7dd5b,109,1,1003828440000000000,0xfremen.eth
730,730,0x3ccd44bb20bc9c06fa8cce8f6aa207ae86d7dd5b,110,1,1003828440000000000,0xfremen.eth
731,731,0x3ccd44bb20bc9c06fa8cce8f6aa207ae86d7dd5b,111,1,1003828440000000000,0xfremen.eth
732,732,0x3ccd44bb20bc9c06fa8cce8f6aa207ae86d7dd5b,112,0,1003828440000000000,0xfremen.eth
733,733,0x3cd95bae6654e0b17409c5d019231d3c0a34d084,110,1,100000000000000000,
734,734,0x3ce938b94fd250b071c6c0e4ba448c6140dddc57,112,1,101004997327243993,nsolo.eth
735,735,0x3d8983f01b2088f05497079cd0edda9760eeadb6,105,1,100000000000000000,0x999orange.eth
736,736,0x3d8a6990a98910fe87d007c78a1d632b91dc7ca9,105,1,0,0x以太.eth
737,737,0x3d8a6990a98910fe87d007c78a1d632b91dc7ca9,109,1,0,0x以太.eth
738,738,0x3d8a6990a98910fe87d007c78a1d632b91dc7ca9,111,1,0,0x以太.eth
739,739,0x3d90377351239a85261ea7d5c2cd68f355b06907,44,1,49958000000000000,
740,740,0x3d909b6cb958a32f1a6e0d016c387a3a2c8decd1,111,1,0,starixdz.eth
741,741,0x3d93b4e055252526dba09f9cbb198e7be7f43031,105,1,110000000000000000,
742,742,0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,45,1,100064778690985130308905,
743,743,0x3e03819123cc6e06de9692c2bd71da5afd777777,99,1,11000000000000000,0x1234567.eth
